fundingRate,APR,perp,day
-0.010064428330032097,-3.6735163404617155,BTC,2023-03-02 22:00:00.000 UTC
-0.010062021928513677,-3.6726380039074917,BTC,2023-03-02 23:00:00.000 UTC
-0.010023993466549154,-3.658757615290441,BTC,2023-03-03 00:00:00.000 UTC
-0.009997327302058413,-3.649024465251321,BTC,2023-03-02 21:00:00.000 UTC
-0.009957608456228046,-3.634527086523237,BTC,2023-03-03 01:00:00.000 UTC
-0.009927375765331037,-3.6234921543458283,BTC,2023-03-03 02:00:00.000 UTC
-0.009844601969486578,-3.593279718862601,BTC,2023-03-03 03:00:00.000 UTC
-0.009833777404468164,-3.58932875263088,BTC,2023-03-02 20:00:00.000 UTC
-0.00976001002343579,-3.562403658554063,BTC,2023-03-03 04:00:00.000 UTC
-0.009703040873017732,-3.5416099186514725,BTC,2023-03-03 05:00:00.000 UTC
-0.009615757064630616,-3.5097513285901747,BTC,2023-03-03 06:00:00.000 UTC
-0.009604529889842613,-3.505653409792554,BTC,2023-03-02 19:00:00.000 UTC
-0.009519333932243738,-3.4745568852689646,BTC,2023-03-03 07:00:00.000 UTC
-0.00944867293700246,-3.4487656220058978,BTC,2023-03-03 08:00:00.000 UTC
-0.009433845491707223,-3.4433536044731365,BTC,2023-03-02 18:00:00.000 UTC
-0.00934297120862065,-3.4101844911465373,BTC,2023-03-03 09:00:00.000 UTC
-0.009293949121447403,-3.3922914293283024,BTC,2023-03-03 10:00:00.000 UTC
-0.009245396250516486,-3.374569631438517,BTC,2023-03-02 17:00:00.000 UTC
-0.009210690910836858,-3.361902182455453,BTC,2023-03-03 11:00:00.000 UTC
-0.00905644356396154,-3.305601900845962,BTC,2023-03-03 12:00:00.000 UTC
-0.008997706788487495,-3.2841629777979358,BTC,2023-03-02 16:00:00.000 UTC
-0.00888315901703254,-3.242353041216877,BTC,2023-03-03 13:00:00.000 UTC
-0.008866074066823099,-3.236117034390431,BTC,2023-03-02 15:00:00.000 UTC
-0.00868400268805699,-3.169660981140801,BTC,2023-03-03 14:00:00.000 UTC
