fundingRate,APR,perp,day
-0.007537489341644873,-2.7511836097003783,ETH,2023-03-02 22:00:00.000 UTC
-0.007534548468113241,-2.7501101908613332,ETH,2023-03-02 21:00:00.000 UTC
-0.007514859561133707,-2.742923739813803,ETH,2023-03-02 23:00:00.000 UTC
-0.007480842747332536,-2.7305076027763757,ETH,2023-03-03 00:00:00.000 UTC
-0.007473307703847539,-2.7277573119043517,ETH,2023-03-02 20:00:00.000 UTC
-0.007436260215974567,-2.714234978830717,ETH,2023-03-03 03:00:00.000 UTC
-0.007432176846737797,-2.7127445490592956,ETH,2023-03-03 02:00:00.000 UTC
-0.00741482418790573,-2.7064108285855912,ETH,2023-03-03 01:00:00.000 UTC
-0.007380043233862795,-2.69371578035992,ETH,2023-03-03 04:00:00.000 UTC
-0.007293471902158806,-2.6621172442879644,ETH,2023-03-02 19:00:00.000 UTC
-0.007254876316085598,-2.6480298553712434,ETH,2023-03-03 05:00:00.000 UTC
-0.007144813849121579,-2.6078570549293763,ETH,2023-03-02 18:00:00.000 UTC
-0.007095008499264125,-2.5896781022314057,ETH,2023-03-03 06:00:00.000 UTC
-0.00695038771110376,-2.5368915145528725,ETH,2023-03-02 17:00:00.000 UTC
-0.006948809742164675,-2.536315555890106,ETH,2023-03-03 07:00:00.000 UTC
-0.006807237471169447,-2.4846416769768482,ETH,2023-03-03 08:00:00.000 UTC
-0.006747293320960746,-2.4627620621506723,ETH,2023-03-02 16:00:00.000 UTC
-0.006626480525901872,-2.418665391954183,ETH,2023-03-03 09:00:00.000 UTC
-0.006576577021093418,-2.4004506126990974,ETH,2023-03-02 15:00:00.000 UTC
-0.006480507565516249,-2.3653852614134308,ETH,2023-03-03 10:00:00.000 UTC
-0.006363222134890547,-2.3225760792350494,ETH,2023-03-02 14:00:00.000 UTC
-0.006299964172126234,-2.2994869228260755,ETH,2023-03-03 11:00:00.000 UTC
-0.006169577324229925,-2.2518957233439227,ETH,2023-03-03 12:00:00.000 UTC
-0.006134176657599162,-2.238974480023694,ETH,2023-03-02 13:00:00.000 UTC
-0.005946142850714045,-2.1703421405106265,ETH,2023-03-03 13:00:00.000 UTC
-0.005867402903678346,-2.1416020598425964,ETH,2023-03-02 12:00:00.000 UTC
-0.005730350745337255,-2.091578022048098,ETH,2023-03-03 14:00:00.000 UTC
-0.005632027176862791,-2.055689919554919,ETH,2023-03-02 11:00:00.000 UTC
-0.00540122371436169,-1.9714466557420167,ETH,2023-03-03 15:00:00.000 UTC
-0.005360142618152493,-1.95645205562566,ETH,2023-03-02 10:00:00.000 UTC
-0.005145168801869878,-1.8779866126825056,ETH,2023-03-02 09:00:00.000 UTC
-0.005088339972708101,-1.8572440900384568,ETH,2023-03-03 16:00:00.000 UTC
-0.004817511801711702,-1.7583918076247713,ETH,2023-03-02 08:00:00.000 UTC
-0.004796314260066805,-1.750654704924384,ETH,2023-03-03 17:00:00.000 UTC
-0.00453081406613162,-1.6537471341380414,ETH,2023-03-02 07:00:00.000 UTC
-0.004280621051271702,-1.5624266837141714,ETH,2023-03-02 06:00:00.000 UTC
-0.004211628112900584,-1.5372442612087132,ETH,2023-03-03 18:00:00.000 UTC
-0.004020498952159766,-1.4674821175383146,ETH,2023-03-02 05:00:00.000 UTC
-0.0039875563323539046,-1.4554580613091752,ETH,2023-03-05 22:00:00.000 UTC
-0.003977583160466362,-1.4518178535702222,ETH,2023-03-05 21:00:00.000 UTC
-0.003956112041358497,-1.4439808950958513,ETH,2023-03-05 23:00:00.000 UTC
-0.0039495688567630595,-1.4415926327185167,ETH,2023-03-05 20:00:00.000 UTC
-0.003919592505951553,-1.4306512646723168,ETH,2023-03-05 19:00:00.000 UTC
-0.003915630642315818,-1.4292051844452738,ETH,2023-03-06 00:00:00.000 UTC
-0.003873899760322138,-1.4139734125175802,ETH,2023-03-03 19:00:00.000 UTC
-0.0038532502277944065,-1.4064363331449583,ETH,2023-03-06 01:00:00.000 UTC
-0.0038446788847658095,-1.4033077929395203,ETH,2023-03-05 18:00:00.000 UTC
-0.003805626396588527,-1.3890536347548124,ETH,2023-03-02 04:00:00.000 UTC
-0.0038055690485478307,-1.3890327027199583,ETH,2023-03-06 02:00:00.000 UTC
-0.0037376601643352683,-1.3642459599823729,ETH,2023-03-06 03:00:00.000 UTC
-0.003693980929196983,-1.3483030391568989,ETH,2023-03-05 17:00:00.000 UTC
-0.0036793027800222375,-1.3429455147081166,ETH,2023-03-11 17:00:00.000 UTC
-0.0036657943799135425,-1.338014948668443,ETH,2023-03-06 04:00:00.000 UTC
-0.0036561073045353974,-1.33447916615542,ETH,2023-03-11 16:00:00.000 UTC
-0.0036559896552815037,-1.3344362241777488,ETH,2023-03-11 18:00:00.000 UTC
-0.0036304121032685295,-1.3251004176930132,ETH,2023-03-11 15:00:00.000 UTC
-0.003621971365363453,-1.3220195483576602,ETH,2023-03-06 05:00:00.000 UTC
-0.0036157162479291466,-1.3197364304941386,ETH,2023-03-11 19:00:00.000 UTC
-0.0036101474651912347,-1.3177038247948007,ETH,2023-03-11 14:00:00.000 UTC
-0.0035912216903196633,-1.3107959169666772,ETH,2023-03-11 20:00:00.000 UTC
